1:	INT.  SHIP'S MAIN CABIN  -  NIGHT:	['FIRST MATE', 'CAPTAIN', 'SAILOR #1', 'CAPTAIN', 'RADIO', 'CAPTAIN', 'FISHERMAN', 'CAPTAIN']
2:	EXT. HOGARTH'S HOUSE - THAT NIGHT - ESTABLISHING:	None
3:	INT. HOGARTH'S HOUSE - CONTINUOUS:	['VOICE (O.S.)', 'ANNIE', 'HOGARTH', 'HOGARTH', 'ANNIE', 'HOGARTH', 'ANNIE', 'HOGARTH', 'HOGARTH', 'HOGARTH', 'ANNIE', 'HOGARTH', 'ANNIE', 'HOGARTH', 'ANNIE', 'HOGARTH', 'ANNIE', 'HOGARTH', 'ANNIE', 'HOGARTH', 'ANNIE', 'HOGARTH']
4:	EXT. ROCKWELL - THE NEXT MORNING:	['FIRST LOCAL', 'FIRST WOMAN', 'SECOND WOMAN', 'FIRST WOMAN']
5:	EXT.  THE "CHAT `N´ CHEW" DINER  -  DAY:	['HOGARTH']
6:	INT.  DINER  -  DAY:	['HOGARTH', 'HOGARTH', 'ANNIE', 'HOGARTH', 'ANNIE', 'HOGARTH', 'ANNIE', "ANNIE (cont'd)", 'HOGARTH', 'ANNIE', 'HOGARTH', 'ANNIE', 'HOGARTH', 'HOGARTH', 'HOGARTH', 'HOGARTH', 'DEAN', 'HOGARTH', 'DEAN', 'DEAN', 'HOGARTH', 'ANNIE', 'DEAN', 'FIRST BUSYBODY', 'SECOND BUSYBODY', 'THIRD BUSYBODY']
7:	EXT. ROCKWELL STREET - DAY:	None
8:	INT. DINER - DAY:	['ANNIE', 'HOGARTH', 'DEAN', "HOGARTH (CONT'D)", 'DEAN', 'HOGARTH', 'DEAN', 'HOGARTH', 'DEAN', 'DEAN', 'DEAN']
9:	EXT. COFFEE SHOP - DAY:	['KENT', 'FARMER', 'KENT', 'FARMER', 'KENT', 'KENT', 'FARMER', 'KENT', 'FARMER', 'KENT', 'FARMER', 'KENT', 'FARMER', 'KENT']
10:	INT. HOGARTH'S HOUSE - THAT NIGHT:	['HOGARTH', 'ANNIE', 'HOGARTH', 'ANNIE', 'HOGARTH', 'ANNIE', 'HOGARTH']
11:	INT.  HOGARTH'S HOUSE LIVING ROOM  -  NIGHT:	['HOGARTH', 'HOGARTH']
12:	EXT.  THE ROOF - A LOFT WINDOW  -  NIGHT:	['HOGARTH', 'HOGARTH']
13:	INT.  HOGARTH'S BEDROOM  -  NIGHT:	['HOGARTH']
14:	EXT.  HOGARTH'S HOUSE  -  NIGHT:	None
15:	INT.  THE WOODS  -  NIGHT:	None
16:	EXT.  BUSHES NEAR THE POWER STATION  -  NIGHT:	['HOGARTH']
17:	INTERCUTS:  EXT./INT. HOGARTH'S HOUSE AND POWER STATION:	['ANNIE']
18:	EXT.  THE DEEP, DARK WOODS  -  NIGHT:	['ANNIE (O.S.)', 'HOGARTH', 'ANNIE', "ANNIE (cont'd)", 'HOGARTH', 'ANNIE', 'HOGARTH', 'ANNIE', 'HOGARTH', 'ANNIE', 'HOGARTH', 'ANNIE']
19:	INT. ANNIE'S TRUCK  -  MOMENTS LATER:	None
20:	EXT. THE FOREST TREES - THE NEXT MORNING:	None
21:	INT. ELEMENTARY SCOOL - DAY:	['TEACHER', 'TEACHER', 'TEACHER']
22:	EXT. POWER STATION - DAY:	['FOREMAN', 'KENT', 'FOREMAN', 'KENT', 'FOREMAN', 'KENT', 'KENT']
23:	EXT. CLASSROOM - DAY:	['HOGARTH', 'FIRST KID', 'HOGARTH', "HOGARTH (cont'd)", 'FIRST KID', 'SECOND KID', 'FIRST KID', 'FIRST KID', 'SECOND KID', 'HOGARTH']
24:	INTO THE WOODS - A LITTLE LATER:	['HOGARTH', 'HOGARTH', 'HOGARTH', 'HOGARTH', 'HOGARTH', 'HOGARTH']
25:	INT. COFFEE SHOP - DAY:	['FIRST BUSYBODY', 'SECOND BUSYBODY', 'THIRD BUSYBODY', 'FIRST BUSYBODY', 'ANNIE (O.S.)', "ANNIE (cont'd)", 'KENT (O.S.)', 'KENT']
26:	INT. WOODS - DAY:	['HOGARTH', 'HOGARTH', "HOGARTH (cont'd)", 'HOGARTH', 'HOGARTH', 'GIANT', 'HOGARTH', 'GIANT', 'HOGARTH', 'GIANT', 'HOGARTH', 'GIANT', 'GIANT', 'HOGARTH', 'GIANT', 'HOGARTH']
27:	INTS AT:	None
28:	INTS AT TREE) Treeeee.:	['GIANT', 'HOGARTH', 'HOGARTH', 'GIANT', 'HOGARTH', 'GIANT', 'HOGARTH', 'HOGARTH', "HOGARTH (CONT'D)"]
29:	EXT. RAILROAD TRACKS NEAR HOGARTH'S HOME - DAY:	['HOGARTH', 'GIANT', 'HOGARTH', 'HOGARTH', "HOGARTH (cont'd)", "HOGARTH (cont'd)", "HOGARTH (cont'd)", "HOGARTH (cont'd)", "HOGARTH (cont'd)", 'HOGARTH', 'HOGARTH', 'HOGARTH', 'HOGARTH']
30:	EXT. FOREST NEAR POWER STATION - CONTINUOUS:	['HOGARTH', 'HOGARTH', 'HOGARTH', 'VOICE', 'HOGARTH', 'HOGARTH']
31:	INT. HOGARTH'S BARN - DAY:	['HOGARTH', 'HOGARTH']
