1:	EXT. NIGHT. - THE PACIFIC IS ANYTHING BUT:	['TITLES OVER ', 'LSO']
2:	EXT. THE TWILIGHT'S LAST GLEAMING - (AERIAL):	None
3:	INT. COCKPIT - (AERIAL):	['STRIKE (V.O. filtered)', 'FOR BOGEY.', 'GOOSE', 'CLOSURE.', 'MAVERICK']
4:	INT. GHOST RIDER - COUGAR'S POV:	['GOOSE', 'KNOTS OF CLOSURE.', 'COUGAR', 'GOOSE', 'YOU HAVE A TRAILER?', 'GOOSE', 'SINGLE.']
5:	INT. - COUGAR'S COCKPIT:	['COUGAR', 'COMES...MIG ONE.']
6:	EXT. SKY :	None
7:	EXT. - MAVERICK'S F-14:	['MAVERICK']
8:	EXT. COUGAR'S F-14 :	['GOOSE', 'COUGAR', 'GOOSE', 'COUGAR', 'GOOSE', 'COUGAR', 'MAVERICK (V.O.) ', "WHAT'S MIG ONE DOING?", 'COUGAR', 'GOOSE', 'GOOSE', 'COUGAR', 'GOOSE']
9:	INT. MAVERICK'S F-14:	['MAVERICK', 'COUGAR', 'MAVERICK']
10:	INT. COUGAR'S F-14:	['COUGAR', 'GOOSE', 'GOOSE', 'TURNING AWAY.', 'MAVERICK', 'BOTTOM.', 'MAVERICK']
11:	EXT. COUGAR - IN THE CLOUDS:	['COUGAR']
12:	INT. MIG:	['WIZARD', 'MAVERICK', 'WIZARD', 'MAVERICK']
13:	EXT. KITTY HAWK FLIGHT DECK - THE LSO :	['CCA (Filtered)', 'ZERO.  DECK IS MOVING.']
14:	INT. COCKPIT - COUGAR:	['COUGAR', 'GOOSE', 'COUGAR', 'YOUR NEEDLES.']
15:	INT. COCKPIT - MAVERICK:	['MAVERICK', 'CCA (V.O. filtered)', 'MAVERICK', 'NEEDLES CENTER.', 'CCA (V.O. filtered)', 'ROGER. CALL THE BALL.', 'MAVERICK']
16:	INT. COCKPIT - COUGAR'S POV:	None
17:	INT. COCKPIT - COUGAR:	['GOOSE', 'COUGAR', 'GOOSE', 'COUGAR', 'GOOSE', 'COUGAR', 'GOOSE', 'COUGAR', 'GOOSE', 'COUGAR', 'GOOSE', 'COUGAR', 'GOOSE', 'LSO']
18:	INT. COCKPIT - MAVERICK:	['COUGAR (V.O. filtered)', 'GOOSE (V.O. filtered)', 'LSO', 'MAVERICK', 'WIZARD', 'MAVERICK', 'WIZARD', 'MAVERICK', 'WIZARD', 'COUGAR', 'GOOSE', 'MAVERICK', 'COUGAR', 'MAVERICK', 'MAVERICK', 'GOOSE', 'COUGAR', 'GOOSE', 'INSTRUMENTS ARE OKAY.', 'MAVERICK', 'COUGAR', 'UP HERE?', 'MAVERICK', 'COUGAR', 'MAVERICK.', 'MAVERICK', 'COUGAR', 'MAVERICK', 'COUGAR', 'GONNA EJECT.', 'GOOSE', 'MAVERICK', 'COUGAR', 'GOOSE']
19:	EXT. FLIGHT DECK :	['LSO', 'LSO', 'LSO', 'ARRIVED.', 'AIR BOSS', 'SILVER SUIT', 'GOOSE', 'SILVER SUIT', 'GOOSE', 'GOOSE', 'GOOSE', 'GOOSE', 'GOOSE', 'AIR BOSS', 'GOOSE']
20:	INT. MAVERICK'S PLANE:	['WIZARD', 'DECK CLEAR?', 'LSO (V.O. filtered)']
