1:	INT. BEDROOM - APARTMENT - DAY:	['LETTY']
2:	INT. KITCHEN - SAME:	['LETTY', 'LETTY']
3:	INT. BATHROOM - SAME:	None
4:	INT. ENTRY HALL - SAME:	None
5:	EXT. HALLWAY - CHASEN ELEMENTARY SCHOOL - DAY:	['CHANDRA', 'LETTY', 'LETTY']
6:	INT. PRINCIPAL'S OFFICE - CHASEN ELEMENTARY SCHOOL - LATER:	['JOHANSEN', 'LETTY', 'PRINCIPAL GAIL', 'LETTY', 'MRS. MONTES', 'LETTY', 'LETTY', 'JOHANSEN']
7:	EXT. PLAYGROUND - CHASEN ELEMENTARY SCHOOL - LATER:	['LETTY', 'LETTY', 'LETTY', 'LETTY']
8:	INT. RESTAURANT - NIGHT:	['RUTH', 'MRS. MAYER', 'RUTH', 'MRS. MAYER', 'LETTY', 'MRS. MAYER', 'LETTY', 'MRS. MAYER', 'LETTY', 'LETTY', 'RUTH', 'MRS. MAYER', 'LETTY', 'RUTH', 'LETTY', 'RUTH', 'LETTY', 'RUTH', 'MRS. MAYER', 'LETTY', 'RUTH', 'LETTY', 'RUTH', 'MRS. MAYER', 'MRS. MAYER', 'LETTY', 'RUTH', 'MRS. MAYER', 'LETTY', 'RUTH', 'MRS. MAYER']
9:	INT. BEDROOM - LETTY'S APARTMENT - NIGHT:	['PAUL', 'LETTY', 'PAUL', 'PAUL', 'LETTY', 'PAUL', 'LETTY', 'PAUL', 'LETTY', 'PAUL', 'PAUL', 'LETTY', 'PAUL', 'LETTY', 'PAUL', 'LETTY', 'LETTY', 'PAUL', 'LETTY', 'PAUL', 'LETTY', 'PAUL', 'LETTY']
10:	INT. CLASSROOM - CHASEN ELEMENTARY SCHOOL - DAY:	['BOBBY', 'LETTY', 'BOBBY', 'LETTY', 'LETTY', 'LETTY']
11:	EXT. HALLWAY - CHASEN ELEMENTARY SCHOOL - SAME:	['RUTH', 'LETTY', 'RUTH', 'LETTY', 'RUTH', 'LETTY', 'RUTH', 'LETTY', 'RUTH', 'LETTY', 'LETTY', 'RUTH', 'LETTY', 'RUTH', 'LETTY', 'RUTH']
12:	INT. CLASSROOM - SAME:	['LETTY', 'ZACH', 'LETTY', 'LETTY', 'LETTY', 'LETTY', 'LETTY', 'LETTY', 'ZACH', 'LETTY', 'LETTY', 'LETTY', 'LETTY', 'LETTY']
13:	INT. BEDROOM - LETTY'S APARTMENT - DAY:	['PAUL', 'LETTY', 'PAUL', 'LETTY', 'PAUL', 'LETTY', 'PAUL', 'LETTY', 'PAUL', 'LETTY', 'PAUL', 'LETTY', 'LETTY', 'PAUL', 'LETTY', 'PAUL', 'LETTY', 'PAUL', 'LETTY', 'PAUL', 'LETTY', 'PAUL']
14:	INT. CLASSROOM - CHASEN ELEMENTARY SCHOOL - NIGHT:	['MRS. ANDERSON', 'MR. ANDERSON', 'LETTY', 'MRS. ANDERSON', 'LETTY', 'MR. ANDERSON', 'MRS. ANDERSON', 'LETTY', 'MR. ANDERSON', 'MRS. ANDERSON', 'MR. ANDERSON', 'LETTY']
15:	INT. LIVING ROOM - LETTY'S APARTMENT - NIGHT:	None
16:	INT. BRIDAL SHOP - DAY:	['CLERK', 'LETTY', 'CLERK', 'LETTY', 'CLERK', 'RUTH', 'RUTH', 'LETTY', 'RUTH', 'LETTY', 'RUTH', 'LETTY', 'RUTH', 'LETTY', 'RUTH', 'LETTY', 'RUTH', 'LETTY', 'RUTH', 'LETTY']
17:	INT. DRESSING ROOM - LATER:	['RUTH', 'LETTY', 'RUTH', 'LETTY', 'LETTY', 'RUTH', 'MRS. MAYER']
18:	INT. BRIDAL SHOP - LATER:	['MRS. MAYER', 'LETTY', 'MRS. MAYER', 'RUTH', 'MRS. MAYER', 'LETTY', 'MRS. MAYER', 'LETTY', 'MRS. MAYER', 'RUTH', 'LETTY', 'RUTH']
19:	INT. BRIDAL SHOP - LATER:	['LETTY', 'CLERK']
20:	INT. LETTY'S LIVING/DINING ROOM - EVENING:	['MRS. MAYER', 'LETTY', 'LETTY', 'LETTY', 'LETTY', 'MR. MAYER']
21:	INT. LIVING ROOM - LETTY'S APARTMENT - LATER:	['LETTY', 'MR. MAYER', 'LETTY', 'MONICA', 'LETTY', 'MR. MAYER', 'RUTH', 'MRS. MAYER', 'MONICA', 'LETTY', 'PAUL', 'MRS. MAYER', 'MR. MAYER', 'LETTY']
22:	INT. KITCHEN - SAME:	['RUTH', 'LETTY', 'RUTH', 'LETTY', 'PAUL', 'RUTH', 'LETTY', 'RUTH', 'PAUL', 'PAUL', 'LETTY', 'RUTH', 'LETTY', 'RUTH', 'LETTY', 'LETTY/PAUL/RUTH']
23:	INT. LIVING ROOM - SAME:	['JAKE']
24:	INT. KITCHEN - SAME:	['PAUL', 'LETTY', 'PAUL', 'LETTY', 'PAUL', 'RUTH', 'LETTY']
25:	INT. GROCERY STORE - NIGHT:	['LETTY', 'STORE CLERK', 'OLD LADY', 'OLD LADY', 'LETTY', 'LETTY', 'STORE CLERK', 'LETTY', 'EMPLOYEE (OS FILTERED)', 'LETTY', 'MANAGER', 'LETTY', 'MANAGER', 'LETTY', 'MANAGER', 'MANAGER', 'LETTY', 'LETTY', 'MANAGER']
26:	INT. LETTY'S ROOM - HILLVIEW PSYCHIATRIC HOSPITAL - DAY:	['MICHAEL', 'MICHAEL', 'MICHAEL', 'LETTY', 'MICHAEL', 'LETTY', 'MICHAEL', 'LETTY', 'MICHAEL', 'MICHAEL', 'LETTY', 'MICHAEL', 'LETTY', 'LETTY', 'MICHAEL', 'MICHAEL', 'LETTY', 'MICHAEL', 'MICHAEL', 'LETTY', 'MICHAEL', 'MICHAEL', 'MICHAEL', 'LETTY', 'MICHAEL', 'LETTY', 'MICHAEL', 'LETTY', 'MICHAEL', 'LETTY', 'MICHAEL', 'MICHAEL', 'MICHAEL']
27:	INT. LETTY'S ROOM - LATER:	['DR. EMLEE', 'LETTY', 'DR. EMLEE', 'LETTY', 'DR. EMLEE', 'LETTY', 'DR. EMLEE', 'LETTY', 'DR. EMLEE', 'LETTY', 'DR. EMLEE', 'LETTY', 'DR. EMLEE', 'LETTY', 'DR. EMLEE', 'LETTY', 'DR. EMLEE', 'LETTY', 'DR. EMLEE', 'DR. EMLEE', 'DR. EMLEE']
28:	INT. REC ROOM - HILLVIEW PSYCHIATRIC HOSPITAL - SAME:	['JOHN', 'THOMAS', 'MARIE', 'MICHAEL', 'JOHN', 'MICHAEL', 'MARIE', 'MICHAEL', 'THOMAS', 'MICHAEL', 'MICHAEL', 'MRS. HALLSTROM', 'MICHAEL', 'MARIE', 'MICHAEL', 'MARIE']
29:	INT. HALLWAY - HILLVIEW PSYCHIATRIC HOSPITAL - NIGHT:	['NURSE GATES', 'NURSE GATES', 'LETTY', 'NURSE GATES', 'LETTY', 'NURSE GATES']
30:	INT. DINING HALL - SAME:	['THOMAS', 'NURSE GATES', 'THOMAS', 'MARIE', 'LETTY', 'THOMAS', 'THOMAS', 'NURSE GATES', 'MICHAEL', 'NURSE GATES', 'NURSE GATES', 'LETTY', 'NURSE GATES']
31:	EXT. HALLWAY - HILLVIEW PSYCHIATRIC HOSPITAL - DAY:	None
32:	INT. WAITING ROOM - HILLVIEW PSYCHIATRIC HOSPITAL - DAY:	['MRS. MAYER', 'LETTY', 'MRS. MAYER', 'LETTY', 'MRS. MAYER', 'LETTY', 'MRS. MAYER', 'LETTY', 'MRS. MAYER', 'LETTY', 'MRS. MAYER', 'LETTY', 'MRS. MAYER', 'LETTY', 'MRS. MAYER', 'LETTY', 'MRS. MAYER', 'LETTY', 'MRS. MAYER', 'MRS. MAYER', 'LETTY', 'MRS. MAYER', 'LETTY', 'MRS. MAYER']
33:	INT. LETTY'S ROOM - NIGHT:	['MICHAEL (O.S.)', 'JOHN (O.S.)', 'MARIE', 'JOHN (O.S.)', 'MICHAEL', 'LETTY', 'MICHAEL', 'LETTY']
34:	INT. REC ROOM - SAME:	None
