1:	EXT. VINCI COUNTRYSIDE - RENAISSANCE - DAY:	['UNFORGETTABLE JUGGLER']
2:	INT. ROOM OF THE GOLD MACHINE:	['DA VINCI', 'APPRENTICE TWO', 'APPRENTICE THREE', 'DA VINCI', 'DA VINCI']
3:	INT. DA VINCI'S WORKSHOP:	None
4:	EXT. CASTLE TERRACE:	None
5:	INT. A SING SING PRISON CELL:	None
6:	INT. PRISON BLOCK WALKWAY:	['WISE GUARD', 'YOUNG GUARD', 'WISE GUARD']
7:	INT. PRISON CELL WALL:	['THE BLOCK', 'WISE GUARD', 'HAWK', 'YOUNG GUARD', 'UNLOCK the door.', 'YOUNG GUARD', 'WISE GUARD', 'HAWK', 'HAWK', 'YOUNG GUARD', 'WISE GUARD', 'HAWK']
8:	EXT. OUTSIDE THE PRISON--DAY:	['ANTONY', 'HAWK', 'CESAR', 'HAWK', 'CESAR', 'HAWK', 'ANTONY', 'CESAR', 'HAWK', 'CESAR', 'HAWK', 'HAWK', 'HAWK', 'CESAR', 'HAWK', 'ALEX', 'HAWK', 'ALEX', 'ALEX', 'HAWK', 'ALEX', 'HAWK']
9:	EXT. THE ROAD INTO HOBOKEN--DAY:	['HAWK', 'ALEX', 'HAWK', 'ALEX', 'HAWK', 'ALEX', 'HAWK', 'ALEX', 'HAWK', 'ALEX', 'HAWK', 'ALEX', 'HAWK']
10:	EXT. OUTSIDE ALEX'S BAR--NIGHT:	None
11:	INT. ALEX'S BAR--NIGHT:	['ALEX', 'HAWK', 'ALEX', 'HAWK', 'HAWK', 'HAWK', 'GATES (O.S.)', 'GATES', 'HAWK', 'BACK OF THE BAR', "GATES' TABLE", 'GATES', 'HAWK', 'GATES', 'HAWK', 'GATES', 'HAWK', 'GATES', 'HAWK', 'GATES', 'HAWK', 'GATES', 'HAWK', 'GATES', 'ALEX', 'GATES', 'HAWK', 'ALEX', 'GATES', 'ALEX']
12:	INT. BACK ROOM--DAWN:	['ALEX', 'HAWK', 'HAWK', 'ALEX', 'HAWK', 'ALEX', 'HAWK', 'ALEX', 'HAWK', 'ALEX', 'HAWK', 'HAWK', 'ALEX', 'HAWK', 'ALEX', 'HAWK', 'ALEX', 'HAWK']
13:	EXT. NICE, BUSINESS NEIGHBORHOOD--NIGHT:	['AT THE WINDOW', 'HAWK', 'ALEX']
14:	INT. INSIDE THE WALKWAY WINDOW--NIGHT:	['HAWK', 'ALEX']
15:	INT. THE GUARDS' STATION:	None
16:	INT. THE POWER ROOM:	['ALEX', 'HAWK', 'ALEX']
17:	INT. SEVENTH FLOOR AUCTION AUDITORIUM--NIGHT:	None
18:	INT. GUARDS' STATION:	['SECURITY GUARD ONE', 'THE AUCTION AUDITORIUM', 'THE FIRST FLOOR']
19:	INT. THE POWER ROOM:	['ALEX', 'HAWK', 'ALEX', 'HAWK', 'ALEX']
20:	INT. THE FREIGHT ELEVATOR:	['HAWK', 'POWER ROOM', "THE GUARDS' STATION", 'SECURITY GUARD TWO', 'POWER ROOM', 'ALEX', 'OUTSIDE THE POWER ROOM', 'INSIDE THE POWER ROOM', 'OUTSIDE THE POWER ROOM', 'THE AUCTION AUDITORIUM', 'HAWK', "THE GUARDS' STATION", 'BIG STAN', 'HAWK', 'HAWK', 'THE FREIGHT ELEVATOR', 'ALEX', 'THE AUCTION AUDITORIUM', 'HAWK', "THE GUARDS' STATION", 'SECURITY GUARD TWO', 'SECURITY GUARD ONE', 'SECURITY GUARD TWO', 'AUCTION AUDITORIUM', 'HAWK', 'ALEX (V.O.)', 'HAWK AND ALEX', 'THE AUCTION ROOM', "THE GUARDS' STATION", 'SECURITY GUARD ONE', 'THE AUCTION AUDITORIUM', 'ALEX', 'HAWK', 'ALEX', 'HAWK', 'ALEX', 'HAWK', 'ALEX']
21:	INT. DARKENED AUCTION AUDITORIUM OFFICE:	['ALEX', 'HAWK AND ALEX', 'HAWK', 'ALEX']
22:	INTO A LAZ-Y-BOY CHAIR:	None
23:	INT. GATES APARTMENT--LATE NIGHT:	['GATES', 'HAWK', 'CESAR', 'HAWK', 'GATES', 'HAWK', 'GATES', 'ALFRED', 'GATES', 'ALFRED', 'ALFRED', 'GATES', 'GATES', 'GATES', "ALFRED'S 180 DEGREE POV", 'GATES', 'ALFRED', 'CESAR', 'ALFRED', 'HAWK', 'ANTONY', 'ALFRED', 'HAWK']
24:	INT. ALEX'S RESTAURANT--DAWN:	['ALEX', 'HAWK', 'ALEX', 'HAWK', 'ALEX', 'HAWK', 'ALEX', 'HAWK', 'HAWK', 'ALEX', 'HAWK', 'ALEX', 'HAWK']
25:	INT. RUTHERFORD'S AUCTION HOUSE--NIGHT:	['HAWK', 'THE WOMAN', 'HAWK', 'AUCTION ENTRANCE', 'AUCTION AREA', 'ECCENTRIC BALD AUTIONEER', 'HAWK', 'ANNA', 'HAWK', 'ANNA', 'DARWIN MAYFLOWER', 'MINERVA', 'DARWIN', 'MINERVA', 'ANNA', 'HAWK', 'ANNA', 'HAWK', 'ANNA', 'HAWK']
26:	INT. VAN-TYPE AMBULANCE--NIGHT:	['HAWK', 'CESAR']
27:	EXT. THE BROOKLYN BRIDGE--NIGHT:	None
28:	INT. INSIDE THE AMBULANCE:	['HAWK', 'ANTONY', 'HAWK', 'THE BROOKLYN BRIDGE', 'INSIDE THE AMBULANCE', 'THE GURNEY', 'HAWK', 'TOLL BOOTH']
