1:	INT. NFL OWNERS MEETING/PALM DESERT FOUR SEASONS -- DAY:	["JERRY'S VOICE"]
2:	INT. NFL OWNER'S MEETING LOBBY -- MINUTES LATER:	['JERRY', "JERRY'S VOICE", "JERRY'S VOICE", "JERRY'S VOICE"]
3:	INT. SMI CONFERENCE ROOM -- DAY:	["JERRY'S VOICE", "JERRY'S VOICE"]
4:	INT. UNDERGROUND PARKING GARAGE -- HOUSTON -- DAY:	['WOMAN REPORTER', 'MAN REPORTER', 'JERRY']
5:	INT. ATLANTA RED CARPET ROOM -- ANOTHER DAY:	['LITTLE BOY', 'CALVIN NACK', "JERRY'S VOICE"]
6:	INT. HOSPITAL BEDROOM -- NIGHT:	['DOCTOR', 'STEVE REMO', 'STEVE REMO', 'JERRY', 'STEVE REMO']
7:	EXT. HOSPITAL HALLWAY -- NIGHT:	['SON', 'JERRY', 'SON']
8:	EXT. RENTAL CAR SHUTTLE -- DAY:	None
9:	INT. MIAMI HOTEL ROOM -- DAY:	["JERRY'S VOICE", "JERRY'S VOICE"]
10:	INT. MIAMI HOTEL ROOM -- NIGHT:	["JERRY'S VOICE", 'DICKY FOX', "JERRY'S VOICE", "JERRY'S VOICE", "JERRY'S VOICE"]
11:	INT. KINKO'S COPIES -- NIGHT:	["JERRY'S VOICE", 'THE THINGS WE THINK AND DO NOT SAY', "KINKO'S GUY", 'JERRY']
12:	INT. HOTEL ROOM -- MORNING:	['JERRY']
13:	INT. ELEVATOR -- DAY:	['JERRY']
14:	INT. LOBBY -- DAY:	["JERRY'S VOICE", 'AGENT # 1 (RACHEL)', 'AGENT # 2 (CHRIS)']
15:	INT. AIRPLANE/FIRST CLASS -- NIGHT:	['WOMAN', 'WOMAN', 'WOMAN', 'JERRY', 'WOMAN', 'JERRY', 'DOROTHY', 'ATTENDANT', 'ATTENDANT', 'DOROTHY', "WOMAN'S VOICE", 'WOMAN', 'JERRY', 'WOMAN', 'JERRY', 'WOMAN']
16:	INT.  FIRST CLASS SEATS -- LATER:	['WOMAN', 'JERRY', 'WOMAN', 'JERRY', 'WOMAN', 'JERRY', "WOMAN'S VOICE", 'JERRY', 'DOROTHY', 'WOMAN', 'JERRY', 'WOMAN', 'JERRY', 'WOMAN', 'JERRY', 'WOMAN', 'JERRY', 'WOMAN', 'JERRY', 'WOMAN', 'JERRY', 'RAY', 'DOROTHY', "JERRY'S VOICE", 'JERRY', 'WOMAN', 'RAY', 'DOROTHY']
17:	INT. LAX AIRPORT TERMINAL -- MORNING:	['JERRY', 'WOMAN']
18:	INT. LUGGAGE AREA -- MORNING:	['DOROTHY', 'JERRY', 'DOROTHY', 'JERRY', 'DOROTHY', 'JERRY', 'DOROTHY', 'JERRY', 'DOROTHY', 'DOROTHY', 'JERRY', 'DOROTHY', 'DOROTHY', 'JERRY', 'DOROTHY', 'JERRY', 'DOROTHY', 'JERRY', 'DOROTHY', 'JERRY', 'DOROTHY', 'JERRY', 'DOROTHY', 'DOROTHY', 'RAY', 'DOROTHY', 'RAY', 'JERRY', 'DOROTHY', 'JERRY', 'RAY', 'JERRY', 'LAUREL', 'DOROTHY']
19:	INT. AVERY'S BEDROOM -- NIGHT:	['AVERY', 'JERRY', 'AVERY', 'AVERY', 'AVERY', 'JERRY', 'AVERY (O.S.)', 'AVERY (0.5.)', 'JERRY (0.5.)', 'AVERY', 'JERRY', 'AVERY']
20:	INT. FANCY HOTEL SUITE -- NIGHT:	['MICHAEL JORDAN', 'DOOLER', 'JERRY', 'DOOLER', 'JERRY', 'SUGAR', 'DOOLER', 'JERRY', 'SUGAR', 'DOOLER', 'SUGAR', 'DOOLER', 'JERRY', 'DOOLER']
21:	INT. SMI OFFICE -- DAY:	['WENDY', 'JERRY']
22:	INT. JERRY MAGUIRE'S OFFICE -- DAY:	['JERRY', 'MARCEE', 'JERRY', 'JERRY', 'MARCEE', "MARCEE (cont'd)", 'SUGAR', 'JERRY', 'SUGAR', 'MARCEE', 'SUGAR', 'MARCEE', 'MARCEE', 'JERRY', 'JERRY', 'MARCEE', 'JERRY', 'MARCEE']
