1:	INT. BARBIZON PLAZA THEATRE - DRESSING ROOM - NIGHT (1964):	['JAKE']
2:	INT. CLEVELAND ARENA - NIGHT (1941):	['JOEY', 'TONY', 'JOEY', 'REFEREE', 'ANNOUNCER', 'JOEY']
3:	EXT. WEBSTER AVENUE ANDTH ST., THE BRONX - NEXT DAY:	['JOEY', 'PANS)', 'SALVY', 'JOEY', 'SALVY', 'JOEY', 'SALVY', 'JOEY', 'COP', 'JOEY', 'COP', 'JOEY']
4:	INT. JAKE AND IRMA'S KITCHEN - DAY:	['JAKE', 'IRMA', 'JAKE', 'IRMA', "IRMA (CONT'D)", 'JAKE', "JAKE (CONT'D)"]
5:	EXT. JAKE AND IRMA'S APARTMENT BUILDING/TENEMENT - DAY:	['JOEY', 'SALVY', "SALVY (CONT'D)", 'JOEY', 'SALVY', 'JOEY']
6:	INT. JAKE AND IRMA'S KITCHEN - DAY:	['JOEY', 'IRMA', 'JOEY', "JOEY (CONT'D)", 'JAKE']
7:	INT. LIVING ROOM:	['JOEY walks up to JAKE.', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', "JAKE (CONT'D)", "JAKE (CONT'D)", 'JOEY hits him again.', "JAKE (CONT'D)", 'JOEY hits him again.', "JAKE (CONT'D)", 'JOEY', 'JAKE', 'JOEY', 'JAKE']
8:	EXT. GLEASON'S GYM - NEXT DAY:	None
9:	INT. GLEASON'S - DAY:	['SALVY', 'JOEY waves back.', "SALVY (CONT'D)", 'JAKE', "JOEY doesn't answer.", "JAKE (CONT'D)", 'JOEY', 'JAKE', 'SALVY', 'JAKE', "JAKE (CONT'D)", 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY']
10:	EXT. SHOREHAVEN POOL - DAY (1942-43):	['FAN', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JAKE watches VICKIE.']
11:	INT. JAKE AND IRMA'S APARTMENT, LIVING ROOM - LATE NIGHT:	['JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE']
12:	INT. JAKE AND IRMA'S APARTMENT - LIVING ROOM - LATE NIGHT:	['JOEY', 'JAKE', 'JOEY', 'IRMA', 'JAKE', 'IRMA', 'JAKE', 'IRMA', 'JOEY lifts his eyes up.', 'JAKE', 'IRMA']
13:	INT. JAKE AND IRMA'S APT. BUILDING - HALLWAY - LATE NIGHT:	['IRMA']
14:	INT. JAKE AND IRMA'S BUILDING - GROUND FLOOR - LATE NIGHT:	['JOEY', 'JAKE', 'JOEY', 'JAKE']
15:	EXT. JAKE AND IRMA'S APARTMENT BUILDING - STREET - LATE NIGHT:	['IRMA']
16:	EXT. WEBSTER HALL - NIGHT (AN HOUR LATER):	['ESTABLISHING SHOT.']
17:	INT. WEBSTER HALL - NIGHT:	['JOEY', 'VERA', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'MOVING SHOTS', "JOEY (CONT'D)", 'JAKE']
18:	EXT. WEBSTER HALL - NIGHT:	None
19:	EXT. SHOREHAVEN POOL - DAY (1942-43):	['JOEY', "JOEY (CONT'D)", 'JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'PAN to car.', 'VICKIE', 'JAKE']
20:	EXT. SHORE ROAD - DAY:	None
21:	EXT. MINIATURE GOLF COURSE - DAY:	['VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE holds up his hand.', 'JAKE']
22:	EXT. THE FIRST GREEN - DAY:	['VICKIE', 'JAKE', "JAKE (CONT'D)", 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE bends and looks.', "VICKIE (CONT'D)", 'JAKE', 'VICKIE', 'JAKE', "JAKE (CONT'D)"]
23:	EXT. ARTHUR AVENUE APARTMENT BUILDING - BRONX - DAY:	None
24:	INT. ARTHUR AVENUE APARTMENT - DAY:	['JAKE', 'JOE LAMOTTA', 'VICKIE', 'JOE LAMOTTA', 'JAKE', 'JOE LAMOTTA', 'JAKE']
25:	INT. ARTHUR AVENUE APARTMENT - BEDROOM - DAY:	['VICKIE', 'JAKE', 'VICKIE', 'JAKE']
26:	INT. OLYMPIA STADIUM - DETROIT (FEB.,):	None
