1:	EXT. SNOWSCAPE:	['CLOSER ON THE TWO MEN', 'FOLLOWING THE PRIMITIVES']
2:	INT. ICE CAVE:	['THE PRIMITIVES', 'THE CREATURE']
3:	INT. SMALLER ICE CAVE - HIGH ANGLE DOWN:	['CLOSE ON LEAD PRIMITIVE', 'THE SECOND PRIMITIVE MAN', 'DAY', 'GASPING.']
4:	INT. CAVE - PRESENT DAY:	['THEIR POV OF STEVIE', 'STEVIE', 'THE BOYS UP ABOVE', 'OVER THE BOYS ABOVE', 'STEVIE', 'STEVIE', 'ANGLE UP ON STEVIE', 'STEVIE', 'THEIR POV OF STEVIE', 'CLOSE ON THE BOYS ABOVE']
5:	EXT. SMALL DIRT FIELD - NORTHERN TEXAS - DAY:	None
6:	EXT. NEIGHBORHOOD - NORTHERN TEXAS - DAY:	['HOLE', 'FIRE CAPTAIN']
7:	INT. CAVE - CONTINUOUS:	['THEIR POV']
8:	EXT. DIRT FIELD - SHORT TIME LATER:	['BRONSCHWEIG', 'FIRE CAPTAIN', 'ANGLE ON CHOPPER', 'DR. BRONSCHWEIG', 'THE NEIGHBORHOOD', 'RESUME BRONSCHWEIG', 'FIRE CAPTAIN', 'DR. BRONSCHWEIG']
9:	EXT. TOP OF A SKYSCRAPER - DAY:	['LATER.', 'FBI AGENT', 'FBI AGENT']
10:	EXT. ROOFTOP OPPOSING SKYSCRAPER - DAY - CONTINUOUS:	['SCULLY', 'MULDER (FILTER)', 'SCULLY', 'MULDER (FILTER)', 'SCULLY', 'MULDER (FILTER)', 'SCULLY', 'MULDER (FILTER)', 'SCULLY', 'MULDER (FILTER)', 'SCULLY', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'MULDER', 'NEW ANGLE', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'SCULLY', 'MULDER', 'SCULLY']
11:	INT. BUILDING LOBBY - DAY:	['SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY']
12:	INT. HALLWAY OUTSIDE VENDING MACHINE ROOM - CONTINUOUS:	None
13:	INT. SNACK AREA AND SODA VENDING MACHINE ROOM - DAY:	['MULDER']
14:	INT. BUILDING LOBBY - DAY:	['SCULLY', 'MULDER (FILTER)', 'SCULLY', 'MULDER (FILTER)']
15:	INT. HALLWAY OUTSIDE VENDING MACHINE ROOM - CONTINUOUS:	['SCULLY']
16:	INT. SNACK AND SODA VENDING MACHINE ROOM - DAY:	['MULDER', 'SCULLY (FILTER)', 'MULDER']
17:	INT. HALLWAY OUTSIDE VENDING MACHINE ROOM - CONTINUOUS:	['SCULLY', 'SCULLY', 'MULDER (FILTER)', 'THE KEYHOLE']
18:	INT. SNACK AND SODA VENDING MACHINE ROOM - DAY:	['MULDER', 'SCULLY (FILTER)']
19:	INT. BUILDING LOBBY - DAY:	['SCULLY', 'SECURITY GUARD', 'SCULLY', 'SCULLY']
20:	EXT. BUILDING - DAY:	['ANGLE ON SCULLY', 'SCULLY']
21:	INT. SNACK AND VENDING MACHINE ROOM - DAY:	['MULDER', 'SCULLY (FILTER)']
22:	INT. HALLWAY OUTSIDE VENDING MACHINE ROOM - CONTINUOUS:	['MULDER', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY']
23:	EXT. PLAZA OUTSIDE BOMB BUILDING - DAY - CONTINUOUS:	['SCULLY', 'LAST AGENT OUT', 'MULDER', 'AGENT.', 'WINDBREAKERED AGENT', 'MULDER', 'SCULLY', 'SCULLY']
24:	INT. SNACK AND SODA VENDING MACHINE ROOM - DAY:	None
25:	EXT. PLAZA OUTSIDE BOMB BUILDING - DAY - CONTINUOUS:	None
26:	INT. VENDING MACHINE ROOM - CONTINUOUS:	['HARD CUT BACK']
27:	EXT. PLAZA OUTSIDE BOMB BUILDING - DAY - CONTINUOUS:	['REVERSE ANGLE ON CAR', 'RESUME BUILDING', 'RESUME ANGLE ON CAR', 'MULDER']
28:	EXT. AERIAL SHOT OF WASHINGTON D.C. - DAY:	['LOWER AND TIGHTER NOW', "WOMAN'S VOICE (V.O.)"]
